Term,Term Description,Last Name,First Name,UID,Count,Email,Camp,Coll,Dep 1,Levl,Prim Majr1,Prim Majr2,Seco Majr1,Seco Majr2,Minr1,Minr2,Prim Conc,Prim Conc2,Seco Conc,Seco Conc2,Class,Admit Term,Enrolled [Y/N],Stu Type,Student Type Description,Student Attribute,USF Earned Hours,Overall Earned Hours,USF GPA,Theatre Major,Theatre Conc
202608,Fall 2026,Student 16,Student 16,U00000016,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,3,202405,Y,B,"Beginner,First time in college",,54,84,3.49,TAR,TDAT
202608,Fall 2026,Student 17,Student 17,U00000017,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,1,202601,Y,B,"Beginner,First time in college",,15,15,3.49,TAR,TAP
202608,Fall 2026,Student 18,Student 18,U00000018,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,3,202405,Y,B,"Beginner,First time in college",,60,70,3.46,TAR,TDAT
202608,Fall 2026,Student 19,Student 19,U00000019,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202408,Y,B,"Beginner,First time in college",,55,78,3.47,TAR,TAA
202608,Fall 2026,Student 20,Student 20,U00000020,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,45,54,3.47,MTR,
202608,Fall 2026,Student 21,Student 21,U00000021,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202408,Y,B,"Beginner,First time in college",,54,66,3.48,MTR,
202608,Fall 2026,Student 22,Student 22,U00000022,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,41,41,3.46,MTR,
202608,Fall 2026,Student 23,Student 23,U00000023,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,B,"Beginner,First time in college",,38,57,3.43,TAR,TAP
202608,Fall 2026,Student 24,Student 24,U00000024,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,30,31,3.42,TAR,TAA
202608,Fall 2026,Student 25,Student 25,U00000025,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,26,41,3.42,TAR,TAA
202608,Fall 2026,Student 26,Student 26,U00000026,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202508,Y,B,"Beginner,First time in college",,28,57,3.42,MTR,
202608,Fall 2026,Student 27,Student 27,U00000027,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,44,58,3.41,MTR,
202608,Fall 2026,Student 28,Student 28,U00000028,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202501,Y,J,Transfer from FL Comm. College,,40,97,3.4,TAR,TAP
202608,Fall 2026,Student 29,Student 29,U00000029,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202305,Y,B,"Beginner,First time in college",,95,108,3.39,MTR,
202608,Fall 2026,Student 30,Student 30,U00000030,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,J,Transfer from FL Comm. College,,32,32,3.38,TAR,TAP
202608,Fall 2026,Student 31,Student 31,U00000031,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,34,59,3.39,TAR,TAA
202608,Fall 2026,Student 32,Student 32,U00000032,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202508,Y,J,Transfer from FL Comm. College,,26,109,3.4,TAR,TAA
202608,Fall 2026,Student 33,Student 33,U00000033,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,6,3.4,TAR,TAA
202608,Fall 2026,Student 34,Student 34,U00000034,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202608,Y,J,Transfer from FL Comm. College,,0,84,3.4,MTR,
202608,Fall 2026,Student 35,Student 35,U00000035,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202605,Y,B,"Beginner,First time in college",,0,3,3.4,MTR,
202608,Fall 2026,Student 36,Student 36,U00000036,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,2,202505,Y,B,"Beginner,First time in college",,30,58,3.39,TAR,TDAT
202608,Fall 2026,Student 37,Student 37,U00000037,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,3,202605,Y,J,Transfer from FL Comm. College,,0,87,3.39,TAR,TDAT
202608,Fall 2026,Student 38,Student 38,U00000038,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202301,Y,B,"Beginner,First time in college",,103,103,3.37,TAR,TAP
202608,Fall 2026,Student 39,Student 39,U00000039,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202601,Y,J,Transfer from FL Comm. College,,16,80,3.37,MTR,
202608,Fall 2026,Student 40,Student 40,U00000040,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,9,3.37,TAR,TAA
202608,Fall 2026,Student 41,Student 41,U00000041,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202608,Y,B,"Beginner,First time in college",,0,11,3.36,MTR,
202608,Fall 2026,Student 42,Student 42,U00000042,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,10,3.37,TAR,TAA
202608,Fall 2026,Student 43,Student 43,U00000043,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,39,39,3.38,MTR,
202608,Fall 2026,Student 44,Student 44,U00000044,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202308,Y,B,"Beginner,First time in college",,98,104,3.38,TAR,TAA
202608,Fall 2026,Student 45,Student 45,U00000045,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202508,Y,J,Transfer from FL Comm. College,,22,118,3.38,MTR,
202608,Fall 2026,Student 46,Student 46,U00000046,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,6,3.37,TAR,TAA
202608,Fall 2026,Student 47,Student 47,U00000047,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,B,"Beginner,First time in college",,38,38,3.37,TAR,TAP
202608,Fall 2026,Student 48,Student 48,U00000048,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202408,Y,B,"Beginner,First time in college",,55,65,3.37,MTR,
202608,Fall 2026,Student 49,Student 49,U00000049,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,4,202305,Y,B,"Beginner,First time in college",,79,100,3.37,TAR,TDAT
202608,Fall 2026,Student 50,Student 50,U00000050,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202501,Y,B,"Beginner,First time in college",,34,56,3.37,MTR,
202608,Fall 2026,Student 51,Student 51,U00000051,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202301,Y,B,"Beginner,First time in college",,107,107,3.37,TAR,TAP
202608,Fall 2026,Student 52,Student 52,U00000052,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202305,Y,B,"Beginner,First time in college",,85,111,3.37,MTR,
202608,Fall 2026,Student 53,Student 53,U00000053,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202508,Y,B,"Beginner,First time in college",,29,58,3.37,MTR,
202608,Fall 2026,Student 54,Student 54,U00000054,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202401,Y,B,"Beginner,First time in college",,69,69,3.37,MTR,
202608,Fall 2026,Student 55,Student 55,U00000055,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202308,Y,B,"Beginner,First time in college",,73,102,3.37,TAR,TAA
202608,Fall 2026,Student 56,Student 56,U00000056,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,26,32,3.37,TAR,TAA
202608,Fall 2026,Student 57,Student 57,U00000057,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202608,Y,J,Transfer from FL Comm. College,,0,69,3.37,TAR,TAA
202608,Fall 2026,Student 58,Student 58,U00000058,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,3,202401,Y,B,"Beginner,First time in college",,67,76,3.36,TAR,TAP
202608,Fall 2026,Student 59,Student 59,U00000059,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,2,202505,Y,B,"Beginner,First time in college",,30,51,3.37,TAR,TDAT
202608,Fall 2026,Student 60,Student 60,U00000060,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202408,Y,B,"Beginner,First time in college",,51,62,3.36,MTR,
202608,Fall 2026,Student 61,Student 61,U00000061,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,31,49,3.36,TAR,TAA
202608,Fall 2026,Student 62,Student 62,U00000062,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202508,Y,J,Transfer from FL Comm. College,,33,95,3.36,MTR,
202608,Fall 2026,Student 63,Student 63,U00000063,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202408,Y,B,"Beginner,First time in college",,60,71,3.36,TAR,TAA
202608,Fall 2026,Student 64,Student 64,U00000064,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202408,Y,B,"Beginner,First time in college",,58,66,3.35,TAR,TAA
202608,Fall 2026,Student 65,Student 65,U00000065,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202508,Y,B,"Beginner,First time in college",,31,58,3.35,MTR,
202608,Fall 2026,Student 66,Student 66,U00000066,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,J,Transfer from FL Comm. College,,28,39,3.35,TAR,TAA
202608,Fall 2026,Student 67,Student 67,U00000067,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,J,Transfer from FL Comm. College,,40,52,3.34,TAR,TAP
202608,Fall 2026,Student 68,Student 68,U00000068,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,3,202401,Y,B,"Beginner,First time in college",,74,87,3.34,TAR,TAP
202608,Fall 2026,Student 69,Student 69,U00000069,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,6,3.33,TAR,TAA
202608,Fall 2026,Student 70,Student 70,U00000070,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202305,Y,B,"Beginner,First time in college",,82,95,3.33,MTR,
202608,Fall 2026,Student 71,Student 71,U00000071,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,3,202405,Y,B,"Beginner,First time in college",,51,87,3.33,TAR,TDAT
202608,Fall 2026,Student 72,Student 72,U00000072,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,B,"Beginner,First time in college",,35,41,3.34,TAR,TAP
202608,Fall 2026,Student 73,Student 73,U00000073,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,2,202508,Y,B,"Beginner,First time in college",,29,34,3.34,TAR,TAA
202608,Fall 2026,Student 74,Student 74,U00000074,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202405,Y,B,"Beginner,First time in college",,50,64,3.33,MTR,
202608,Fall 2026,Student 75,Student 75,U00000075,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202501,Y,J,Transfer from FL Comm. College,,40,91,3.32,TAR,TAP
202608,Fall 2026,Student 76,Student 76,U00000076,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,10,3.32,TAR,TAA
202608,Fall 2026,Student 77,Student 77,U00000077,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,2,202501,Y,B,"Beginner,First time in college",,35,35,3.33,TAR,TAP
202608,Fall 2026,Student 78,Student 78,U00000078,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202601,Y,J,Transfer from FL Comm. College,,11,74,3.33,MTR,
202608,Fall 2026,Student 79,Student 79,U00000079,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,1,202608,Y,B,"Beginner,First time in college",,0,9,3.33,TAR,TAA
202608,Fall 2026,Student 80,Student 80,U00000080,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202308,Y,B,"Beginner,First time in college",,75,101,3.32,TAR,TAA
202608,Fall 2026,Student 81,Student 81,U00000081,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,4,202508,Y,J,Transfer from FL Comm. College,,24,101,3.32,TAR,TAA
202608,Fall 2026,Student 82,Student 82,U00000082,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,1,202601,Y,J,Transfer from FL Comm. College,,13,13,3.32,TAR,TAP
202608,Fall 2026,Student 83,Student 83,U00000083,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,1,202601,Y,J,Transfer from FL Comm. College,,14,14,3.32,TAR,TAP
202608,Fall 2026,Student 84,Student 84,U00000084,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202601,Y,J,Transfer from FL Comm. College,,14,14,3.32,MTR,
202608,Fall 2026,Student 85,Student 85,U00000085,1,,T,DP,TRD,UG,MTR,,,,,,,,,,3,202408,Y,B,"Beginner,First time in college",,60,86,3.33,MTR,
202608,Fall 2026,Student 86,Student 86,U00000086,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202301,Y,B,"Beginner,First time in college",,88,113,3.32,TAR,TAP
202608,Fall 2026,Student 87,Student 87,U00000087,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202301,Y,B,"Beginner,First time in college",,103,113,3.32,TAR,TAP
202608,Fall 2026,Student 88,Student 88,U00000088,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202508,Y,J,Transfer from FL Comm. College,,26,33,3.32,MTR,
202608,Fall 2026,Student 89,Student 89,U00000089,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,1,202601,Y,B,"Beginner,First time in college",,11,11,3.32,TAR,TAP
202608,Fall 2026,Student 90,Student 90,U00000090,1,,T,DP,TRD,UG,MTR,,,,,,,,,,2,202508,Y,B,"Beginner,First time in college",,25,48,3.32,MTR,
202608,Fall 2026,Student 91,Student 91,U00000091,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202408,Y,B,"Beginner,First time in college",,60,64,3.31,TAR,TAA
202608,Fall 2026,Student 92,Student 92,U00000092,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,1,202605,Y,B,"Beginner,First time in college",,0,11,3.32,TAR,TDAT
202608,Fall 2026,Student 93,Student 93,U00000093,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,2,202505,Y,B,"Beginner,First time in college",,28,54,3.32,TAR,TDAT
202608,Fall 2026,Student 94,Student 94,U00000094,1,,T,DP,TRD,UG,MTR,,,,,,,,,,4,202305,Y,B,"Beginner,First time in college",,93,105,3.32,MTR,
202608,Fall 2026,Student 95,Student 95,U00000095,1,,T,DP,TRD,UG,TAR,,,,,,TAA,,,,3,202608,Y,J,Transfer from FL Comm. College,,0,87,3.31,TAR,TAA
202608,Fall 2026,Student 96,Student 96,U00000096,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,4,202301,Y,B,"Beginner,First time in college",,96,98,3.31,TAR,TAP
202608,Fall 2026,Student 97,Student 97,U00000097,1,,T,DP,TRD,UG,TAR,,,,,,TAP,,,,3,202601,Y,J,Transfer from FL Comm. College,,12,80,3.31,TAR,TAP
202608,Fall 2026,Student 98,Student 98,U00000098,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202601,Y,B,"Beginner,First time in college",,11,11,3.31,MTR,
202608,Fall 2026,Student 99,Student 99,U00000099,1,,T,DP,TRD,UG,MTR,,,,,,,,,,1,202608,Y,B,"Beginner,First time in college",,0,9,3.31,MTR,
202608,Fall 2026,Student 100,Student 100,U00000100,1,,T,DP,TRD,UG,TAR,,,,,,TDAT,,,,3,202405,Y,B,"Beginner,First time in college",,52,63,3.31,TAR,TDAT
